Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
162,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['win', 'chenchina', 'play', 'past', 'winner', 'profit', 'month']"
163,Gaming and Contest,0.9476,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tag', 'friend', 'lose']"
164,Gaming and Contest,0.9662,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wire', 'combo', 'enjoy', 'advance', 'dinar', 'stay', 'network', 'number']"
165,Gaming and Contest,0.9475,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['improve', 'photo', 'technique']"
166,Gaming and Contest,0.9737,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['offer', 'waffi', 'pay', 'receive', 'internet', 'debit', 'mah', 'hour', 'day', 'option', 'mobile', 'reach', 'divide', 'people']"
167,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'horror', 'month', 'answer', 'question', 'hopefully']"
168,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'run', 'wheel', 'mytt', 'win', 'recharge', 'card']"
169,Services and Offers,0.9647,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'run', 'wheel', 'mytt', 'win', 'recharge', 'card', 'iphone']"
170,Services and Offers,0.7015,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['hand', 'hand', 'present', 'giant', 'support', 'way', 'world', 'cup', 'encourage', 'basketball']"
171,Gaming and Contest,0.9728,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['listen', 'robot', 'love', 'place', 'turn', 'warap', 'listen', 'rap', 'day', 'hear', 'song', 'love', 'rap', 'scene', 'stream', 'lappli', 'honey']"
172,Services and Offers,0.9332,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['service', 'activih']"
173,Gaming and Contest,0.978,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['telecom', 'tawer', 'develop', 'cooperation', 'soul', 'build', 'idea', 'offer', 'content', 'tell', 'develop', 'soul', 'world', 'way', 'topic', 'story', 'wait', 'kampuzi', 'subscribe', 'improve', 'life', 'subscription', 'enjoy', 'day']"
174,Gaming and Contest,0.9613,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['telecom', 'sponsor', 'race', 'encourage', 'challenge', 'determination', 'determination', 'participant']"
175,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
176,Services and Offers,0.9476,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['talk', 'meaning', 'neighbor']"
177,Services and Offers,0.9725,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'smartphone', 'enter', 'mytt', 'spin', 'wheel', 'try', 'luck', 'vizin', 'click', 'tt', 'zgrf']"
178,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
179,Services and Offers,0.9476,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['talk', 'meaning', 'neighbor']"
180,Services and Offers,0.9725,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'smartphone', 'enter', 'mytt', 'spin', 'wheel', 'try', 'luck', 'vizin', 'click', 'tt', 'zgrf']"
181,Services and Offers,0.947,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['technology', 'lover', 'tell']"
182,Services and Offers,0.9714,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['fibre', 'rapido', 'connect', 'connection', 'referral', 'friend', 'win', 'wifi', 'speaker', 'enjoy', 'offer', 'espace']"
183,Services and Offers,0.941,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['play', 'tounsi', 'win']"
184,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'speak', 'account', 'communication', 'month', 'start', 'dinar']"
185,Services and Offers,0.9575,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'forfait', 'activa', 'internet', 'tt', 'win']"
186,Gaming and Contest,0.9683,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'internet', 'wire', 'combo', 'enjoy', 'advance', 'access', 'stay', 'network', 'number']"
187,Gaming and Contest,0.9605,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['increase', 'knowledge', 'day', 'enjoy', 'udaily', 'service']"
188,Services and Offers,0.9722,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['supporter', 'sport', 'athlete', 'year', 'tuni', 'half', 'partner', 'ulysse', 'edition', 'competitor', 'world', 'pull']"
189,Gaming and Contest,0.9679,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'joker', 'enter', 'simulator', 'appli', 'mytt', 'choose', 'internet', 'forfait', 'help']"
190,Services and Offers,0.9656,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['send', 'wd', 'enjoy', 'music', 'service', 'digster', 'day', 'subscription']"
191,Gaming and Contest,0.9533,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['shakun', 'pass', 'valentine', 'day']"
192,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
193,Services and Offers,0.9722,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['supporter', 'sport', 'athlete', 'year', 'tuni', 'half', 'partner', 'ulysse', 'edition', 'competitor', 'world', 'pull']"
194,Gaming and Contest,0.9679,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'joker', 'enter', 'simulator', 'appli', 'mytt', 'choose', 'internet', 'forfait', 'help']"
195,Services and Offers,0.9656,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['send', 'wd', 'enjoy', 'music', 'service', 'digster', 'day', 'subscription']"
196,Gaming and Contest,0.9533,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['shakun', 'pass', 'valentine', 'day']"
197,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
198,Services and Offers,0.9379,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['bartagio', 'read']"
199,Services and Offers,0.9716,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'buy', 'internet', 'minute', 'price', 'mala', 'activate', 'loption', 'hadranet', 'enjoy', 'app', 'tt']"
200,Services and Offers,0.9532,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['internet', 'like', 'share', 'number']"
201,Services and Offers,0.9548,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['mayssa', 'valentine', 'day', 'win', 'love']"
202,Gaming and Contest,0.9337,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['ayman', 'win', 'win']"
203,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
204,Gaming and Contest,0.9337,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['ayman', 'win', 'win']"
205,Gaming and Contest,0.9691,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['download', 'appli', 'mytt', 'enjoy', 'discount', 'internet', 'package', 'pay', 'bank', 'card']"
206,Services and Offers,0.9665,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'love', 'saint', 'valentine', 'day', 'internet', 'enter', 'lottery', 'win']"
207,Gaming and Contest,0.9619,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['participate', 'game', 'telecom', 'radio', 'winner', 'dinar', 'month']"
208,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['combozi', 'bash', 'enjoy', 'number', 'vixx', 'number', 'phone', 'turkey']"
209,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
210,Gaming and Contest,0.9662,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wire', 'combo', 'enjoy', 'advance', 'dinar', 'stay', 'network', 'number']"
211,Services and Offers,0.9681,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'month', 'participate', 'saga', 'quiz', 'answer', 'question', 'celebrate', 'win']"
212,Gaming and Contest,0.9614,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['combozi', 'choose', 'forfait', 'internet', 'connect', 'network']"
213,Gaming and Contest,0.9682,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tell', 'know', 'love', 'gracia', 'facebook', 'people', 'fail', 'relationship', 'star', 'tell']"
214,Gaming and Contest,0.9336,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['substitute', 'internet']"
215,Gaming and Contest,0.9581,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['phone', 'come', 'gram', 'win', 'phone', 'valentine', 'day']"
216,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecom', 'recharge', 'appli', 'mytt', 'enjoy', 'onelink']"
217,Services and Offers,0.9663,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecom', 'offer', 'exercise', 'https', 'www', 'tiktok', 'com', 'tunisie', 'telecom']"
218,Gaming and Contest,0.9608,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'win', 'plaza', 'come', 'win', 'million', 'enter']"
219,Gaming and Contest,0.9748,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['cheer', 'country', 'want', 'start', 'year', 'encourage', 'association', 'afreecan', 'way', 'support', 'future', 'child', 'appointment', 'facebook', 'com', 'afreecan', 'page', 'encourage', 'initiative']"
220,Gaming and Contest,0.9344,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['want', 'month']"
221,Services and Offers,0.9601,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['word', 'word', 'come', 'enter', 'lottery', 'win', 'game', 'score']"
222,Gaming and Contest,0.9543,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['stay', 'talk', 'price', 'minute']"
223,Gaming and Contest,0.938,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['sim', 'photography']"
224,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
225,Services and Offers,0.9729,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['reviewing', 'child', 'play', 'service', 'come', 'lesson', 'exercise', 'include', 'improvement', 'activate', 'code', 'enter', 'com']"
226,Gaming and Contest,0.9378,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['linstrument', 'dream']"
227,Gaming and Contest,0.9455,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['enjoy', 'access', 'game']"
228,Services and Offers,0.9601,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['word', 'word', 'come', 'enter', 'lottery', 'win', 'game', 'score']"
229,Services and Offers,0.9473,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['connect', 'service', 'code']"
230,Services and Offers,0.9575,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['instead', 'point', 'kelma', 'choose', 'gift']"
231,Gaming and Contest,0.9608,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'win', 'plaza', 'come', 'win', 'million', 'enter']"
232,Services and Offers,0.938,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['rank', 'work']"
233,Others,0.5,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",[]
234,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
235,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'pro', 'win', 'play', 'esport', 'win', 'gaming', 'equipment', 'gift']"
236,Gaming and Contest,0.9167,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",['way']
237,Gaming and Contest,0.9561,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['jok', 'stay', 'connect', 'pick', 'dinar']"
238,Gaming and Contest,0.9379,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wait', 'taste']"
239,Gaming and Contest,0.9662,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wire', 'combo', 'enjoy', 'advance', 'dinar', 'stay', 'network', 'number']"
240,Services and Offers,0.9379,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['month', 'year']"
241,Services and Offers,0.9736,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['artist', 'understand', 'music', 'play', 'world', 'art', 'order', 'earn', 'dinar', 'month', 'combozi', 'enter', 'edenyafan', 'com']"
242,Gaming and Contest,0.9719,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['clue', 'prepay', 'package', 'inclusion', 'program', 'travel', 'connect', 'service', 'balance', 'solution', 'fiber', 'tunisia']"
243,Gaming and Contest,0.9538,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['let', 'fall', 'love', 'ati']"
244,Gaming and Contest,0.9336,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['substitute', 'internet']"
245,Gaming and Contest,0.9526,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['turn', 'meow', 'connect', 'internet']"
246,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['win', 'chenchina', 'play', 'past', 'winner', 'profit', 'month']"
247,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecom', 'recharge', 'appli', 'mytt', 'enjoy', 'onelink']"
248,Gaming and Contest,0.9683,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'internet', 'wire', 'combo', 'enjoy', 'advance', 'access', 'stay', 'network', 'number']"
249,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
250,Services and Offers,0.9681,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'month', 'participate', 'saga', 'quiz', 'answer', 'question', 'celebrate', 'win']"
251,Services and Offers,0.9624,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['team', 'bash', 'today', 'face', 'team', 'match', 'tunis', 'telecom', 'supporter', 'team']"
252,Services and Offers,0.9563,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['control', 'internet', 'password', 'joke', 'tt']"
253,Services and Offers,0.9532,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['internet', 'like', 'share', 'number']"
254,Gaming and Contest,0.9722,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tunisian', 'unite', 'hero', 'support', 'minute', 'sake', 'world', 'voice', 'bologna', 'telecom', 'supporter', 'team']"
255,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'connection', 'account', 'internet', 'month', 'start', 'dinar']"
256,Gaming and Contest,0.9501,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['curve', 'win', 'recharge', 'phone']"
257,Gaming and Contest,0.9641,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['song', 'dattente', 'service', 'choose', 'song', 'like', 'sheikh', 'talk', 'music']"
258,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
259,Services and Offers,0.9478,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['artist', 'try', 'reveal']"
260,Services and Offers,0.9532,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['internet', 'like', 'share', 'number']"
261,Gaming and Contest,0.9722,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tunisian', 'unite', 'hero', 'support', 'minute', 'sake', 'world', 'voice', 'bologna', 'telecom', 'supporter', 'team']"
262,Gaming and Contest,0.9637,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['offer', 'connection', 'account', 'internet', 'month', 'start', 'dinar']"
263,Gaming and Contest,0.9501,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['curve', 'win', 'recharge', 'phone']"
264,Gaming and Contest,0.9641,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['song', 'dattente', 'service', 'choose', 'song', 'like', 'sheikh', 'talk', 'music']"
265,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
266,Services and Offers,0.9478,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['artist', 'try', 'reveal']"
267,Services and Offers,0.9656,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['send', 'wd', 'enjoy', 'music', 'service', 'digster', 'day', 'subscription']"
268,Services and Offers,0.9359,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'barca']"
269,Gaming and Contest,0.9645,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['club', 'privilege', 'discount', 'desire', 'https', 'bit', 'wtk']"
270,Services and Offers,0.9167,"win, play, month, year, enter, internet, dinar, like, winner, mytt",['team']
271,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'horror', 'month', 'answer', 'question', 'hopefully']"
272,Gaming and Contest,0.9605,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['increase', 'knowledge', 'day', 'enjoy', 'udaily', 'service']"
273,Services and Offers,0.9709,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['season', 'champion', 'start', 'year', 'qualify', 'final', 'tournament', 'wish', 'luck', 'rest', 'comment']"
274,Gaming and Contest,0.9379,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['phone', 'come']"
275,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'speak', 'account', 'communication', 'month', 'start', 'dinar']"
276,Services and Offers,0.941,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['play', 'tounsi', 'win']"
277,Gaming and Contest,0.938,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['sim', 'photography']"
278,Services and Offers,0.9528,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['cambodian', 'enjoy', 'story', 'abdul']"
279,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['equation', 'turn', 'win', 'year', 'dinar', 'month', 'game']"
280,Services and Offers,0.938,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['rank', 'work']"
281,Gaming and Contest,0.9575,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['phone', 'release', 'camera', 'megapixel', 'game']"
282,Gaming and Contest,0.9683,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'bladder', 'win', 'coin', 'exchange', 'تبدequipement', 'fun', 'gaming', 'ement']"
283,Gaming and Contest,0.9594,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'win', 'fast', 'ball', 'sum', 'mb', 'mb', 'offer']"
284,Services and Offers,0.9373,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['program', 'vacation']"
285,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'pro', 'win', 'play', 'esport', 'win', 'gaming', 'equipment', 'gift']"
286,Services and Offers,0.9698,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['lesson', 'exercise', 'include', 'fix', 'revision', 'child', 'service', 'code', 'log', 'com']"
287,Services and Offers,0.9729,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['reviewing', 'child', 'play', 'service', 'come', 'lesson', 'exercise', 'include', 'improvement', 'activate', 'code', 'enter', 'com']"
288,Services and Offers,0.9166,"win, play, month, year, enter, internet, dinar, like, winner, mytt",['share']
289,Gaming and Contest,0.9707,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['teach', 'child', 'play', 'believe', 'way', 'learn', 'create', 'application', 'tilechargy', 'application', 'app', 'store', 'play', 'store']"
290,Services and Offers,0.9377,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['thing', 'holiday']"
291,Services and Offers,0.96,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['helmet', 'bash', 'celebrate', 'year', 'espace', 'helmet', 'internet', 'dinar']"
292,Services and Offers,0.9714,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['fibre', 'rapido', 'connect', 'connection', 'referral', 'friend', 'win', 'wifi', 'speaker', 'enjoy', 'offer', 'espace']"
293,Gaming and Contest,0.9634,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'win', 'game', 'win', 'cash', 'divide', 'million']"
294,Gaming and Contest,0.966,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['travel', 'way', 'بالـle', 'roam', 'datum', 'combo', 'start', 'dinar']"
295,Gaming and Contest,0.9367,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tell', 'company']"
296,Gaming and Contest,0.9455,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['enjoy', 'access', 'game']"
297,Gaming and Contest,0.9645,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['club', 'privilege', 'discount', 'desire', 'https', 'bit', 'wtk']"
298,Services and Offers,0.9167,"win, play, month, year, enter, internet, dinar, like, winner, mytt",['team']
299,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'horror', 'month', 'answer', 'question', 'hopefully']"
300,Gaming and Contest,0.9605,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['increase', 'knowledge', 'day', 'enjoy', 'udaily', 'service']"
301,Services and Offers,0.9709,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['season', 'champion', 'start', 'year', 'qualify', 'final', 'tournament', 'wish', 'luck', 'rest', 'comment']"
302,Gaming and Contest,0.9379,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['phone', 'come']"
303,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'speak', 'account', 'communication', 'month', 'start', 'dinar']"
304,Services and Offers,0.941,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['play', 'tounsi', 'win']"
305,Gaming and Contest,0.938,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['sim', 'photography']"
306,Gaming and Contest,0.9528,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['cambodian', 'enjoy', 'story', 'abdul']"
307,Gaming and Contest,0.9166,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",['word']
308,Services and Offers,0.9776,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['application', 'student', 'challenge', 'hold', 'year', 'laico', 'hotel', 'th', 'edition', 'day', 'form', 'immediately', 'let', 'secure', 'https', 'lnkd', 'contact', 'information', 'registration']"
309,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
310,Services and Offers,0.9673,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['equation', 'appear', 'celebrate', 'gift', 'year', 'dinar', 'month', 'profit', 'game']"
311,Gaming and Contest,0.9633,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['bring', 'word', 'receive', 'gift', 'dinar', 'month', 'game']"
312,Gaming and Contest,0.9166,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",['word']
313,Services and Offers,0.9776,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['application', 'student', 'challenge', 'hold', 'year', 'laico', 'hotel', 'th', 'edition', 'day', 'form', 'immediately', 'let', 'secure', 'https', 'lnkd', 'contact', 'information', 'registration']"
314,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
315,Services and Offers,0.9673,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['equation', 'appear', 'celebrate', 'gift', 'year', 'dinar', 'month', 'profit', 'game']"
316,Gaming and Contest,0.9633,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['bring', 'word', 'receive', 'gift', 'dinar', 'month', 'game']"
317,Services and Offers,0.9629,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'play', 'win', 'follow', 'participate', 'win', 'gift', 'competition']"
318,Services and Offers,0.9474,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecom', 'wish', 'year']"
319,Services and Offers,0.9608,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['turn', 'earn', 'recharge', 'dinar', 'month', 'game']"
320,Services and Offers,0.9675,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'win', 'participant', 'enter', 'lottery', 'win', 'subscription', 'follow', 'participate', 'win', 'competition']"
321,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['equation', 'turn', 'win', 'year', 'dinar', 'month', 'game']"
322,Services and Offers,0.938,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['rank', 'work']"
323,Gaming and Contest,0.9575,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['phone', 'release', 'camera', 'megapixel', 'game']"
324,Gaming and Contest,0.9683,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'bladder', 'win', 'coin', 'exchange', 'تبدequipement', 'fun', 'gaming', 'ement']"
325,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
326,Gaming and Contest,0.9662,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wire', 'combo', 'enjoy', 'advance', 'dinar', 'stay', 'network', 'number']"
327,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'connection', 'account', 'internet', 'month', 'start', 'dinar']"
328,Services and Offers,0.9376,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['tech', 'lover']"
329,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'speak', 'account', 'communication', 'month', 'start', 'dinar']"
330,Services and Offers,0.9643,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['profit', 'gift', 'spin', 'wheel', 'charge', 'mytt', 'honey']"
331,Gaming and Contest,0.9511,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['send', 'internet', 'service', 'transfer']"
332,Gaming and Contest,0.9442,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['cambodian', 'win', 'cash']"
333,Gaming and Contest,0.9695,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'play', 'win', 'مب', 'participate', 'win', 'jeu', 'spin', 'wheel', 'recharge', 'mytt', 'honey']"
